City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
302,Bubaque,GW,77.07,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
303,Akyab,MM,84.97,overcast clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
309,Marfino,RU,77.14,clear sky,55.7028,37.3822,Nemchinovka-Park
310,Dicabisagan,PH,85.37,heavy intensity rain,17.0818,122.4157,Nancy Montanes Bernardo
312,Nakamura,JP,87.58,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
313,Buluang,PH,76.14,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
314,Makakilo City,US,79.12,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
315,Cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
316,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
320,Dongsheng,CN,82.99,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
324,Eyl,SO,79.54,broken clouds,7.9803,49.8164,Amiin Hotel
328,Champerico,GT,75.36,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
332,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
335,Taybad,IR,88.18,clear sky,34.74,60.7756,لی پوش jean center
338,Tiarei,PF,75.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
339,Santa Ana,US,82.92,clear sky,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
340,Sola,VU,80.6,few clouds,-13.8833,167.55,Leumerus Bungalows
346,Mesaria,GR,75.87,clear sky,36.3985,25.4459,Santorini Palace
347,Krasnyy Yar,RU,78.73,few clouds,46.5331,48.3456,Cottege near Ufa
348,Banda Aceh,ID,86.0,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
349,Bull Savanna,JM,76.66,overcast clouds,17.8868,-77.5902,Big Red's
350,Balikpapan,ID,83.39,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
351,Najran,SA,83.05,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
352,Sarmanovo,RU,79.48,scattered clouds,55.2553,52.5891,Gostinitsa
355,Martapura,ID,89.69,few clouds,-3.4167,114.85,Montana Hotel Syariah
357,Zhanaozen,KZ,84.43,overcast clouds,43.3,52.8,K.korabay 28A
360,Saint-Pierre,RE,75.9,overcast clouds,-21.3393,55.4781,Alize Plage
364,Miri,MY,86.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
367,Kuah,MY,87.78,scattered clouds,6.3265,99.8432,Azio Hotel
371,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
373,Hobyo,SO,77.95,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
376,Ereymentau,KZ,75.79,scattered clouds,51.6199,73.1033,"Gostinitsa ""Dostyk"""
378,Qui Nhon,VN,78.51,moderate rain,13.7667,109.2333,Seagull Hotel
380,Harrison,US,80.65,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
383,Sharlyk,RU,76.15,scattered clouds,52.9167,54.75,"Gostinitsa-Kafe ""Komil'fo"""
386,Bud,US,77.2,clear sky,39.447,-86.1758,Ted McQuinn Trust
388,Chandvad,IN,77.22,overcast clouds,20.3333,74.25,Hotel nisarg & lodging
390,Dumas,US,81.54,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
393,Jawhar,SO,77.43,broken clouds,2.7809,45.5005,Hotel Shabelle
394,Sur,OM,89.08,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
398,Lazaro Cardenas,MX,76.5,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
400,Gorontalo,ID,82.29,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
405,Asyut,EG,82.76,few clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
406,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
411,Dhamrai,BD,89.58,few clouds,23.9202,90.2109,Dhamrai to Kalampur Auto Station
413,Heihe,CN,75.78,moderate rain,50.2441,127.4902,Hotel Strannik
426,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
427,Kaspiyskiy,RU,79.83,scattered clouds,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
430,Bol,TD,80.28,overcast clouds,13.4586,14.7147,Harrouni camp de passage
434,Sao Miguel Do Araguaia,BR,78.62,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
435,Acapulco,MX,82.22,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
436,Sibu,MY,88.11,few clouds,2.3,111.8167,RH HOTEL (4 Star)
444,Palmer,US,78.17,clear sky,42.1584,-72.3287,Wedgewood Motel
448,Hamilton,US,75.24,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
456,Mitsamiouli,KM,76.12,clear sky,-11.3847,43.2844,Foyer ADM
461,Samana,DO,78.51,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
463,Kirakira,SB,82.69,broken clouds,-10.4544,161.9205,SanBiz Lodge
464,Fallon,US,76.91,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
470,Benxi,CN,75.52,overcast clouds,41.2886,123.765,Yaju Business Hotel
471,Rincon,US,79.86,clear sky,32.296,-81.2354,Days Inn Rincon
474,Makasar,ID,87.85,few clouds,-5.14,119.4221,Aryaduta Makassar
476,Vao,NC,75.0,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
479,Broome,US,75.58,overcast clouds,42.2506,-75.833,Chenango Valley State Park
482,Bastia,FR,81.3,clear sky,42.6667,9.3333,Hotel Santa Maria
483,Tecoanapa,MX,79.63,overcast clouds,16.5167,-98.75,Hotel Manglares
486,Careiro Da Varzea,BR,81.21,broken clouds,-3.2003,-59.8119,POUSADA DA ALDENORA
487,Daru,PG,78.58,broken clouds,-9.0763,143.2092,Daru Lodge
488,San Patricio,US,84.88,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
