City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Devrek,TR,2022-08-03 20:31:51,41.2192,31.9558,66.33,97,9,2.17
146,Bubanza,BI,2022-08-03 20:31:52,-3.1167,29.4,72.3,69,96,1.83
147,Leshukonskoye,RU,2022-08-03 20:31:52,64.8989,45.7622,58.55,82,99,4.52
148,Winnemucca,US,2022-08-03 20:31:53,40.973,-117.7357,91.45,22,0,5.75
149,Russell,US,2022-08-03 20:31:33,32.3502,-85.1999,88.75,55,20,3.44
150,Mardin,TR,2022-08-03 20:31:53,37.3131,40.7436,81.84,23,0,2.57
151,Ust-Kuyga,RU,2022-08-03 20:31:53,70.0167,135.6,44.69,81,99,3.8
152,Pierre,US,2022-08-03 20:30:35,44.3683,-100.351,94.05,39,0,12.66
153,Buraydah,SA,2022-08-03 20:30:52,26.326,43.975,93.65,27,47,6.67
154,Dong Hoi,VN,2022-08-03 20:31:54,17.4833,106.6,78.78,85,100,7.16
155,Hilo,US,2022-08-03 20:31:54,19.7297,-155.09,82.26,73,20,7.0
156,Duldurga,RU,2022-08-03 20:31:54,50.6761,113.5931,61.41,98,100,2.33
157,Katangli,RU,2022-08-03 20:31:55,51.7102,143.2326,56.05,98,100,7.63
158,La Ronge,CA,2022-08-03 20:31:55,55.1001,-105.2842,64.65,52,75,6.91
159,Samagaltay,RU,2022-08-03 20:31:55,50.6022,95.0047,53.31,81,8,8.68
160,Abu Dhabi,AE,2022-08-03 20:27:16,24.4667,54.3667,96.91,67,0,3.44
161,Alanya,TR,2022-08-03 20:31:56,36.5438,31.9998,84.33,72,81,3.56
162,Iqaluit,CA,2022-08-03 20:30:13,63.7506,-68.5145,50.7,66,40,8.01
163,Butaritari,KI,2022-08-03 20:31:51,3.0707,172.7902,81.5,77,83,15.05
164,Kushiro,JP,2022-08-03 20:31:56,42.975,144.3747,59.83,94,100,7.94
165,Massaguet,TD,2022-08-03 20:31:57,12.4755,15.4365,80.8,65,85,5.01
166,Carnarvon,AU,2022-08-03 20:31:57,-24.8667,113.6333,65.1,58,100,17.83
167,Altamira,BR,2022-08-03 20:31:57,-3.2033,-52.2064,84.27,59,100,0.25
168,Cidreira,BR,2022-08-03 20:31:58,-30.1811,-50.2056,62.78,91,97,19.35
169,Coquimbo,CL,2022-08-03 20:31:58,-29.9533,-71.3436,58.73,62,75,4.61
170,Klaksvik,FO,2022-08-03 20:31:58,62.2266,-6.589,49.12,80,69,16.26
171,Port Elizabeth,ZA,2022-08-03 20:31:44,-33.918,25.5701,61.09,63,0,4.61
172,Khani,GE,2022-08-03 20:31:59,41.9563,42.9566,65.77,95,50,1.34
173,Chirongui,YT,2022-08-03 20:31:59,-12.9319,45.1483,71.53,63,0,2.46
174,Tarko-Sale,RU,2022-08-03 20:31:59,64.9225,77.785,57.6,60,96,4.16
175,Constitucion,CL,2022-08-03 20:31:59,-35.3333,-72.4167,52.93,73,54,11.14
176,Sibu,MY,2022-08-03 20:32:00,2.3,111.8167,73.31,99,98,1.59
177,Fershampenuaz,RU,2022-08-03 20:32:00,53.5202,59.8117,56.16,81,48,7.67
178,Jaumave,MX,2022-08-03 20:32:01,23.4167,-99.3833,92.34,31,6,9.53
179,Novyy Urgal,RU,2022-08-03 20:32:01,51.0736,132.5642,62.13,97,51,1.88
180,Ponta Do Sol,PT,2022-08-03 20:32:01,32.6667,-17.1,73.71,82,2,7.67
181,Antofagasta,CL,2022-08-03 20:32:01,-23.65,-70.4,60.08,73,3,10.63
182,Anloga,GH,2022-08-03 20:32:02,5.7947,0.8973,73.89,80,85,13.29
183,Zhangjiakou,CN,2022-08-03 20:32:02,40.81,114.8794,74.61,78,100,2.44
184,Ilulissat,GL,2022-08-03 20:33:02,69.2167,-51.1,51.82,54,40,8.05
185,Danane,CI,2022-08-03 20:33:03,7.2596,-8.155,70.45,96,97,0.54
186,Hithadhoo,MV,2022-08-03 20:32:07,-0.6,73.0833,81.0,74,95,17.18
187,Bantry,IE,2022-08-03 20:33:03,51.6833,-9.45,57.78,87,15,7.99
188,Ciudad Guayana,VE,2022-08-03 20:33:03,8.3533,-62.6528,82.53,85,93,5.91
189,Beringovskiy,RU,2022-08-03 20:33:04,63.05,179.3167,52.14,78,100,7.9
190,Naushki,RU,2022-08-03 20:33:05,50.3828,106.1056,59.97,88,87,2.84
191,Clyde River,CA,2022-08-03 20:33:05,70.4692,-68.5914,39.43,100,100,11.5
192,Antalaha,MG,2022-08-03 20:33:05,-14.9003,50.2788,65.5,86,9,6.35
193,Ternate,ID,2022-08-03 20:33:06,0.8,127.4,80.01,80,73,5.1
194,Kurchum,KZ,2022-08-03 20:33:06,48.5722,83.6542,65.88,57,87,7.14
195,Birpur,IN,2022-08-03 20:33:06,26.5167,87.0167,77.34,97,100,5.28
196,Kodinsk,RU,2022-08-03 20:33:07,58.6881,99.1844,48.52,89,48,3.22
197,Alofi,NU,2022-08-03 20:32:43,-19.0595,-169.9187,76.89,78,20,12.66
198,Verkhnyaya Inta,RU,2022-08-03 20:33:07,65.9811,60.3094,66.96,50,99,11.14
199,Tabuk,PH,2022-08-03 20:33:07,17.4189,121.4443,74.34,91,100,2.39
200,Port Lincoln,AU,2022-08-03 20:33:08,-34.7333,135.8667,56.61,66,3,26.08
201,Talas,TR,2022-08-03 20:33:08,38.6908,35.5538,72.27,46,0,0.0
202,Ribeira Grande,PT,2022-08-03 20:31:49,38.5167,-28.7,79.2,83,75,11.5
203,Lompoc,US,2022-08-03 20:33:08,34.6391,-120.4579,94.69,68,0,14.97
204,Alice Springs,AU,2022-08-03 20:30:08,-23.7,133.8833,69.35,43,100,9.22
205,Jacareacanga,BR,2022-08-03 20:33:09,-6.2222,-57.7528,91.24,42,78,1.34
206,Gera,DE,2022-08-03 20:33:09,50.8803,12.0819,79.59,44,70,1.72
207,Vardo,NO,2022-08-03 20:33:10,70.3705,31.1107,51.78,100,100,9.22
208,Bozoum,CF,2022-08-03 20:33:10,6.3193,16.3799,69.19,95,99,2.93
209,Saint George,US,2022-08-03 20:30:21,37.1041,-113.5841,102.79,25,0,4.0
210,Eldorado,BR,2022-08-03 20:33:10,-23.7869,-54.2836,78.51,40,2,4.88
211,North Bend,US,2022-08-03 20:30:16,43.4065,-124.2243,75.24,83,0,12.66
212,Tazmalt,DZ,2022-08-03 20:33:11,36.3868,4.3989,78.19,45,2,5.06
213,Vostok,RU,2022-08-03 20:33:11,46.4856,135.8833,64.29,95,67,3.11
214,Chisec,GT,2022-08-03 20:33:12,15.8167,-90.2833,93.43,49,93,5.61
215,Riyadh,SA,2022-08-03 20:31:48,24.6877,46.7219,100.54,28,59,10.18
216,Vallenar,CL,2022-08-03 20:32:09,-28.5708,-70.7581,61.12,50,6,2.89
217,Marmarion,GR,2022-08-03 20:33:12,38.0484,24.3204,83.71,66,0,17.87
218,Coari,BR,2022-08-03 20:28:45,-4.085,-63.1414,78.01,87,99,3.0
219,Rongcheng,CN,2022-08-03 20:33:13,30.634,117.8517,80.35,84,0,2.84
220,Saldanha,ZA,2022-08-03 20:33:13,-33.0117,17.9442,51.85,74,76,6.02
221,Grindavik,IS,2022-08-03 20:33:13,63.8424,-22.4338,52.27,62,75,19.57
222,Elizabeth City,US,2022-08-03 20:33:14,36.2946,-76.2511,98.02,63,0,9.22
223,Abnub,EG,2022-08-03 20:33:14,27.2696,31.1511,89.82,20,0,10.8
224,Artsyz,UA,2022-08-03 20:33:14,45.9919,29.4182,70.83,60,0,9.89
225,Basco,PH,2022-08-03 20:33:14,20.4487,121.9702,82.67,79,100,14.43
226,Kita,ML,2022-08-03 20:33:15,13.0349,-9.4895,75.15,89,92,1.48
227,Thompson,CA,2022-08-03 20:33:15,55.7435,-97.8558,62.76,45,75,10.36
228,Mattru,SL,2022-08-03 20:33:15,7.6244,-11.8332,72.52,98,94,2.68
229,Senno,RU,2022-08-03 20:33:16,59.5336,33.9167,56.26,81,8,3.02
230,Nuuk,GL,2022-08-03 20:34:16,64.1835,-51.7216,48.81,87,100,1.14
231,Gandu,BR,2022-08-03 20:34:16,-13.7439,-39.4867,68.76,78,14,3.8
232,Tura,IN,2022-08-03 20:34:17,25.5198,90.2201,74.16,95,100,2.64
233,Mantua,IT,2022-08-03 20:34:17,45.1667,10.7833,83.44,66,0,1.01
234,Cherskiy,RU,2022-08-03 20:34:18,68.75,161.3,45.61,85,100,7.65
235,Suluq,LY,2022-08-03 20:34:18,31.6682,20.2521,82.36,38,0,7.9
236,Itoman,JP,2022-08-03 20:34:18,26.1247,127.6694,83.17,85,20,3.44
237,Hlotse,LS,2022-08-03 20:34:19,-28.8718,28.045,50.09,75,100,3.4
238,Okhotsk,RU,2022-08-03 20:34:19,59.3833,143.3,56.95,87,100,3.65
239,Geraldton,AU,2022-08-03 20:31:08,-28.7667,114.6,59.41,63,40,12.66
240,Guanica,PR,2022-08-03 20:34:19,17.9716,-66.908,87.98,77,12,15.82
241,Palmer,US,2022-08-03 20:34:20,42.1584,-72.3287,90.21,47,40,3.44
242,Bethel,US,2022-08-03 20:32:59,41.3712,-73.414,91.65,49,0,4.61
243,Scarborough,GB,2022-08-03 20:31:09,54.2797,-0.4044,65.77,70,46,3.0
244,Bhachau,IN,2022-08-03 20:34:20,23.2833,70.35,83.73,72,100,6.78
245,Port Blair,IN,2022-08-03 20:30:05,11.6667,92.75,78.84,89,100,8.05
246,Liaozhong,CN,2022-08-03 20:34:21,41.5061,122.7242,76.37,90,76,10.51
247,Saint-Augustin,CA,2022-08-03 20:34:21,51.226,-58.6502,71.94,53,18,7.83
248,Urucara,BR,2022-08-03 20:34:21,-2.5364,-57.76,83.1,74,100,0.87
249,Baykit,RU,2022-08-03 20:32:18,61.67,96.37,49.01,94,97,3.74
250,Half Moon Bay,US,2022-08-03 20:33:57,37.4636,-122.4286,89.91,71,40,20.71
251,Waitati,NZ,2022-08-03 20:34:22,-45.75,170.5667,47.8,75,100,5.19
252,Souillac,MU,2022-08-03 20:34:22,-20.5167,57.5167,70.18,78,40,9.22
253,Obo,CF,2022-08-03 20:34:22,5.3998,26.4869,68.41,97,100,3.83
254,Solnechnyy,RU,2022-08-03 20:33:07,50.7214,136.6319,61.68,97,92,3.89
255,Aksu,CN,2022-08-03 20:34:23,41.1231,80.2644,70.11,48,100,5.86
256,Zhezkazgan,KZ,2022-08-03 20:34:23,47.8043,67.7144,67.68,67,100,10.33
257,Algiers,DZ,2022-08-03 20:34:18,36.7525,3.042,75.02,83,0,8.05
258,Narsaq,GL,2022-08-03 20:34:24,60.9167,-46.05,53.82,75,100,3.33
259,Shakawe,BW,2022-08-03 20:34:24,-18.3667,21.85,66.43,39,2,4.94
260,Plettenberg Bay,ZA,2022-08-03 20:34:24,-34.0527,23.3716,57.81,90,82,5.26
261,Wynyard,AU,2022-08-03 20:34:24,-41.0,145.7167,51.98,89,36,8.41
262,Tete,MZ,2022-08-03 20:34:25,-16.1564,33.5867,69.89,73,40,6.91
263,Reriutaba,BR,2022-08-03 20:34:25,-4.1417,-40.5822,82.36,58,100,4.5
264,Tabou,CI,2022-08-03 20:34:25,4.423,-7.3528,75.18,80,98,10.11
265,Ponta Delgada,PT,2022-08-03 20:34:26,37.7333,-25.6667,72.32,94,75,6.91
266,Katsuura,JP,2022-08-03 20:34:26,35.1333,140.3,77.52,90,89,17.31
267,Praia Da Vitoria,PT,2022-08-03 20:34:26,38.7333,-27.0667,79.05,83,75,3.49
268,Matelandia,BR,2022-08-03 20:34:27,-25.2408,-53.9964,73.58,52,0,6.42
269,Cabo San Lucas,MX,2022-08-03 20:31:47,22.8909,-109.9124,94.6,51,0,8.05
270,Faanui,PF,2022-08-03 20:34:27,-16.4833,-151.75,78.6,75,7,21.27
271,Pidhorodne,UA,2022-08-03 20:34:27,48.5753,35.1068,65.7,94,81,5.64
272,Sao Filipe,CV,2022-08-03 20:34:28,14.8961,-24.4956,77.45,85,75,4.41
273,Georgetown,MY,2022-08-03 20:31:22,5.4112,100.3354,78.89,92,20,0.0
274,Louga,RU,2022-08-03 20:34:28,58.7372,29.8453,61.38,86,19,3.29
275,Vao,NC,2022-08-03 20:34:29,-22.6667,167.4833,72.21,81,24,15.05
276,Beloha,MG,2022-08-03 20:35:29,-25.1667,45.05,63.82,82,0,12.19
277,Aykino,RU,2022-08-03 20:35:29,62.2248,49.9922,62.96,71,29,4.36
278,Copacabana,CO,2022-08-03 20:35:30,6.3463,-75.5089,78.01,89,97,0.65
279,Formosa Do Rio Preto,BR,2022-08-03 20:35:30,-11.0483,-45.1931,81.39,29,6,5.12
280,Makakilo City,US,2022-08-03 20:35:30,21.3469,-158.0858,81.61,58,20,9.22
281,Cape Girardeau,US,2022-08-03 20:35:31,37.3834,-89.7168,92.79,63,87,4.0
282,Cayenne,GF,2022-08-03 20:35:31,4.9333,-52.3333,84.24,1,0,5.75
283,Bambous Virieux,MU,2022-08-03 20:35:32,-20.3428,57.7575,70.05,78,40,9.22
284,Nouadhibou,MR,2022-08-03 20:35:32,20.931,-17.0347,75.18,78,75,9.22
285,Samarai,PG,2022-08-03 20:34:11,-10.6167,150.6667,80.71,84,94,14.67
286,Kaihua,CN,2022-08-03 20:35:32,23.3687,104.28,65.28,93,17,1.99
287,Bandarbeyla,SO,2022-08-03 20:35:33,9.4942,50.8122,75.81,86,10,32.61
288,Itarantim,BR,2022-08-03 20:35:33,-15.6597,-40.0656,70.7,56,2,5.08
289,Kuruman,ZA,2022-08-03 20:35:33,-27.4524,23.4325,47.98,65,0,5.12
290,Hede,CN,2022-08-03 20:35:34,33.7681,120.2517,77.85,95,0,4.38
291,Tumpat,MY,2022-08-03 20:35:34,6.1978,102.171,77.02,83,20,2.3
292,Aykhal,RU,2022-08-03 20:35:34,66.0,111.5,40.1,97,100,23.94
293,Siverek,TR,2022-08-03 20:35:35,37.755,39.3167,86.81,30,0,4.21
294,Dasoguz,TM,2022-08-03 20:35:35,41.8363,59.9666,75.15,50,0,6.91
295,Gizo,SB,2022-08-03 20:35:35,-8.103,156.8419,81.55,75,55,7.56
